,id,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,instant_bookable,reviews_per_month,price_in_euros,price_per_person,minimum_price,discount_per_5_days_booked,discount_per_10_days_booked,discount_per_30_and_more_days_booked,service_cost,available,five_day_dollar_price
225,1631878,0.04999999999999999,f,2,2,Zuid,52.36079,4.88298,Entire home/apt,4,2.0,3.0,16,$475.00,5,1125,t,0,0,0,155,68,5,1,4.09,t,0.64,,$118.75,$2375,7%,8%,20%,$10.99,0.4246575342465753,2375.0
226,1645011,0.45999999999999996,f,1,1,Centrum-Oost,52.36063,4.89241,Entire home/apt,4,3.0,3.0,13,$397.00,3,1125,t,0,3,3,3,49,5,0,4.94,f,0.51,,$99.25,$1191,13%,20%,30%,$4.99,0.00821917808219178,1964.4520547945206
227,1649932,0.72,f,1,1,Centrum-Oost,52.36307,4.89709,Entire home/apt,3,2.0,2.0,7,$125.00,5,30,t,0,0,0,0,8,3,0,5.0,f,0.15,,$41.67,$625,7%,11%,19%,$4.99,0.0,625.0
228,1657879,0.0,f,1,1,De Baarsjes - Oud-West,52.35811,4.85707,Entire home/apt,3,1.0,2.0,9,$119.00,6,30,t,0,0,0,0,12,0,0,4.92,f,0.11,,$39.67,$714,7%,13%,19%,$4.99,0.0,595.0
229,1658094,0.0,f,2,2,De Baarsjes - Oud-West,52.36645,4.85563,Entire home/apt,2,1.0,1.0,10,$155.00,7,1125,t,0,0,0,0,0,0,0,,f,,,$77.5,$1085,8%,22%,18%,$4.99,0.0,775.0
230,1662676,0.0,f,1,1,Centrum-West,52.37976,4.88293,Entire home/apt,2,1.0,2.0,3,$100.00,15,30,f,0,0,0,0,25,0,0,4.85,f,0.24,,$50,$1500,7%,12%,14%,$4.99,0.0,500.0
231,1681041,0.0,f,0,0,Zuid,52.35466,4.88464,Entire home/apt,6,3.0,4.0,9,$200.00,7,300,t,0,0,0,14,16,0,0,5.0,f,0.16,,$33.33,$1400,11%,15%,22%,$4.99,0.038356164383561646,1056.7397260273972
232,1694534,,f,1,1,De Pijp - Rivierenbuurt,52.34174,4.90396,Entire home/apt,4,3.0,3.0,16,$220.00,3,1125,t,0,0,0,36,62,0,0,4.56,f,0.59,,$55,$660,9%,13%,23%,$4.99,0.09863013698630137,1100.0
233,1708637,0.81,f,2,2,De Pijp - Rivierenbuurt,52.35428,4.90005,Private room,2,1.0,1.0,4,$84.00,3,31,t,3,9,9,223,208,20,3,4.6,f,2.1,,$42,$252,6%,11%,15%,$4.99,0.6109589041095891,446.4931506849315
234,1713147,0.010000000000000009,f,1,1,De Pijp - Rivierenbuurt,52.33917,4.89633,Entire home/apt,6,4.0,4.0,10,$299.00,4,1125,t,0,2,2,8,23,2,0,4.75,f,0.22,,$49.83,$1196,8%,22%,26%,$4.99,0.021917808219178082,1495.0
235,1723463,0.0,f,1,1,Watergraafsmeer,52.35317,4.93806,Entire home/apt,4,3.0,4.0,15,$200.00,5,21,t,0,0,0,155,22,0,0,4.91,f,0.21,,$50,$1000,7%,15%,22%,$4.99,0.4246575342465753,1000.0
236,1727103,0.0,f,1,1,De Pijp - Rivierenbuurt,52.34007,4.91193,Entire home/apt,4,2.0,3.0,9,$175.00,3,1125,t,0,0,0,0,11,0,0,4.91,f,0.15,,$43.75,$525,9%,20%,22%,$4.99,0.0,1233.4246575342465
237,1731246,0.0,f,1,1,De Pijp - Rivierenbuurt,52.35345,4.89037,Entire home/apt,4,2.0,2.0,5,$273.00,3,1125,t,2,2,2,29,42,2,0,4.95,f,0.42,,$68.25,$819,9%,23%,28%,$4.99,0.07945205479452055,1121.849315068493
238,1733772,0.56,t,1,1,Oud-Noord,52.38772,4.93933,Entire home/apt,2,1.0,1.0,6,$180.00,3,14,t,0,0,14,53,97,6,0,4.83,t,0.93,,$90,$540,7%,10%,17%,$4.99,0.14520547945205478,900.0
